Clabel:   0; set:  1; Glabel:   1; round-off, flic-flac with 0.5 turn on, stretched salto forward with 0.5 turn off
Clabel:  35; set: 25; Glabel: 188; salto backward stretched with 1.5 twist
Clabel:  36; set: 25; Glabel: 191; double salto backward tucked with 2 twist
Clabel:  37; set: 25; Glabel: 192; double salto backward tucked with 1 twist
Clabel:  38; set: 25; Glabel: 195; double salto backward tucked
Clabel:  39; set: 25; Glabel: 198; double salto backward piked with 1 twist
Clabel:  40; set: 25; Glabel: 199; double salto backward piked
Clabel:  41; set: 31; Glabel: 207; sissone (leg separation 180 degree on the diagonal to the floor, take off two feet, land on one foot)
Clabel:  42; set: 31; Glabel: 208; split jump with 0.5 turn in side position
Clabel:  43; set: 31; Glabel: 213; split jump     
Clabel:  44; set: 31; Glabel: 219; straddle pike jump or side split jump
Clabel:  45; set: 31; Glabel: 222; split ring jump (ring jump with front leg horizontal to the floor)
Clabel:  46; set: 31; Glabel: 223; switch leap with 0.5 turn
Clabel:  47; set: 31; Glabel: 228; switch leap (leap forward with leg change)
Clabel:  48; set: 31; Glabel: 230; split leap forward
Clabel:  49; set: 31; Glabel: 232; johnson (leap forward with leg change and 0.25 turn to side split or straddle pike position)
Clabel:  50; set: 31; Glabel: 234; switch leap to ring position
Clabel:  51; set: 31; Glabel: 251; sheep jump (jump with upper back arch and head release with feet to head height/closed Ring)
Clabel:  52; set: 31; Glabel: 256; wolf hop or jump (hip angle at 45, knees together)
Clabel:  53; set: 32; Glabel: 268; 1 turn with heel of free leg forward at horizontal throughout turn
Clabel:  54; set: 32; Glabel: 270; 2 turn on one leg, free leg optional below horizontal
Clabel:  55; set: 32; Glabel: 272; 1 turn on one leg, free leg optional below horizontal
Clabel:  56; set: 32; Glabel: 279; 2 turn in tuck stand on one leg, free leg optional
Clabel:  57; set: 33; Glabel: 289; salto backward tucked with 1 twist
Clabel:  58; set: 33; Glabel: 290; salto backward tucked
Clabel:  59; set: 33; Glabel: 295; salto backward stretched-step out (feet land successively)
Clabel:  60; set: 33; Glabel: 297; salto backward stretched with legs together
Clabel:  61; set: 33; Glabel: 300; salto sideward tucked, take off from one leg to side stand
Clabel:  62; set: 33; Glabel: 306; free aerial cartwheel landing in cross position
Clabel:  63; set: 33; Glabel: 309; salto forward tucked to cross stand
Clabel:  64; set: 33; Glabel: 312; free aerial walkover forward, landing on one or both feet
Clabel:  65; set: 34; Glabel: 331; jump backward, flic-flac take-off with 0.5 twist through handstand to walkover forward, also with support on one arm
Clabel:  66; set: 34; Glabel: 334; flic-flac to land on both feet
Clabel:  67; set: 34; Glabel: 335; flic-flac with step-out, also with support on one arm
Clabel:  68; set: 34; Glabel: 336; round-off      
Clabel:  69; set: 35; Glabel: 357; double salto backward tucked
Clabel:  70; set: 35; Glabel: 359; salto backward tucked
Clabel:  71; set: 35; Glabel: 363; double salto backward piked
Clabel:  72; set: 35; Glabel: 367; salto backward stretched with 2 twist
Clabel:  73; set: 35; Glabel: 370; salto backward stretched with 2.5 twist
Clabel:  74; set: 41; Glabel: 398; pike sole circle backward with 1 turn to handstand
Clabel:  75; set: 41; Glabel: 399; pike sole circle backward with 0.5 turn to handstand
Clabel:  76; set: 41; Glabel: 400; pike sole circle backward to handstand
Clabel:  77; set: 41; Glabel: 411; giant circle backward with 1 turn to handstand
Clabel:  78; set: 41; Glabel: 413; giant circle backward with 0.5 turn to handstand
Clabel:  79; set: 41; Glabel: 416; giant circle backward
Clabel:  80; set: 41; Glabel: 417; giant circle forward with 1 turn on one arm before handstand phase
Clabel:  81; set: 41; Glabel: 420; giant circle forward with 0.5 turn to handstand
Clabel:  82; set: 41; Glabel: 421; giant circle forward
Clabel:  83; set: 41; Glabel: 425; clear hip circle backward to handstand
Clabel:  84; set: 41; Glabel: 431; clear pike circle backward with 1 turn to handstand
Clabel:  85; set: 41; Glabel: 432; clear pike circle backward with 0.5 turn to handstand
Clabel:  86; set: 41; Glabel: 433; clear pike circle backward to handstand
Clabel:  87; set: 41; Glabel: 441; stalder backward with 1 turn to handstand
Clabel:  88; set: 41; Glabel: 443; stalder backward to handstand
Clabel:  89; set: 42; Glabel: 453; counter straddle over high bar to hang
Clabel:  90; set: 42; Glabel: 456; counter piked over high bar to hang
Clabel:  91; set: 42; Glabel: 462; (swing backward or front support) salto forward straddled to hang on high bar
Clabel:  92; set: 42; Glabel: 465; (swing backward) salto forward piked to hang on high bar
Clabel:  93; set: 42; Glabel: 466; (swing forward or hip circle backward) salto backward with 0.5 turn piked to hang on high bar
Clabel:  94; set: 43; Glabel: 471; transition flight from high bar to low bar
Clabel:  95; set: 43; Glabel: 472; transition flight from low bar to high bar
Clabel:  96; set: 44; Glabel: 481; (swing forward) double salto backward tucked with 1 turn
Clabel:  97; set: 44; Glabel: 484; (swing backward) double salto forward tucked
Clabel:  98; set: 44; Glabel: 516; (swing forward) double salto backward stretched
